city,diesel,petrol,Petrol-Diesel Gap,Petrol Price Rank,Price Tier
Bareilly,88.07,94.92,6.85,590,Low
Bargarh,93.64,102.08,8.44,297,High
Barmer,91.73,106.21,14.48,133,Very High
Barnala,87.47,96.97,9.5,485,Moderate
Barpeta,90.14,98.94,8.8,406,Moderate
Bastar,95.06,102.11,7.05,293,High
Basti,88.56,95.39,6.83,548,Low
Bathinda,87.7,97.21,9.51,475,Moderate
Begusarai,91.9,105.05,13.15,205,High
Belgaum,89.63,103.59,13.96,248,High
Bellary,90.02,104.0,13.98,242,High
Bemetara,94.09,101.15,7.06,344,High
Betul,92.7,107.4,14.7,65,Very High
Bhadradri Kothagudem,96.99,108.83,11.84,15,Very High
Bhadrak,93.43,101.87,8.44,305,High
Bhagalpur,93.38,106.63,13.25,107,Very High
Bhandara,91.41,104.88,13.47,217,High
Bharatpur,90.09,104.61,14.52,222,High
Bharuch,90.62,94.95,4.33,588,Low
Bhavnagar,91.78,96.1,4.32,505,Moderate
Bhilwara,90.8,105.39,14.59,191,High
Bhind,92.33,106.99,14.66,83,Very High
Bhiwani,88.27,95.44,7.17,544,Low
Bhojpur,92.87,106.06,13.19,147,Very High
Bhopal,91.68,106.28,14.6,127,Very High
Bid,92.03,105.5,13.47,175,High
Bidar,89.5,103.46,13.96,251,High
Bijapur,95.06,102.08,7.02,297,High
Bijnor,87.79,94.68,6.89,634,Low
Bikaner,91.73,106.2,14.47,139,Very High
Bilaspur,94.03,101.09,7.06,348,High
Birbhum,92.71,105.97,13.26,152,Very High
Bishnupur,85.49,99.45,13.96,387,Moderate
Biswanath,90.73,99.52,8.79,383,Moderate
Bokaro,92.84,98.09,5.25,446,Moderate
Bolangir,94.2,102.63,8.43,271,High
Bongaigaon,89.39,98.17,8.78,443,Moderate
Botad,91.44,95.76,4.32,517,Moderate
Boudh,94.2,102.63,8.43,271,High
Budaun,87.73,94.63,6.9,640,Low
Bulandshahr,88.29,95.16,6.87,564,Low
Buldhana,91.9,105.38,13.48,192,High
Bundi,90.79,105.38,14.59,192,High
Burhanpur,93.4,108.0,14.6,36,Very High
Buxar,93.32,106.54,13.22,114,Very High
Cachar,90.1,98.85,8.75,417,Moderate
Central Delhi,87.67,94.77,7.1,614,Low
Chamba,87.35,94.92,7.57,590,Low
Chamoli,89.36,94.47,5.11,648,Low
Champawat,88.42,93.45,5.03,670,Low
Champhai,88.58,99.55,10.97,382,Moderate
Chamrajnagar,89.15,103.09,13.94,259,High
Chandauli,87.77,94.65,6.88,638,Low
Chandel,85.68,99.67,13.99,375,Moderate
Chandigarh,82.45,94.3,11.85,659,Low
Chandrapur,91.02,104.46,13.44,226,High
Changlang,82.2,92.66,10.46,680,Low
Charaideo,90.14,98.94,8.8,406,Moderate
Charki Dadri,88.3,95.45,7.15,542,Low
Chatra,93.92,99.17,5.25,397,Moderate
Chennai,92.48,100.9,8.42,354,Moderate
Chhatarpur,93.18,107.93,14.75,50,Very High
Chhindware,93.4,108.0,14.6,36,Very High
Chhotaudepur,90.9,95.23,4.33,560,Low
Chikkaballapura,88.99,102.92,13.93,262,High
Chikmagalur,89.21,103.19,13.98,257,High
Chirang,89.39,98.17,8.78,443,Moderate
Chitradurga,90.24,104.14,13.9,234,High
Chitrakut,88.72,95.55,6.83,530,Low
Chittaurgarh,90.11,104.6,14.49,224,High
Chittoor,98.22,110.34,12.12,1,Very High
Churachandpur,85.3,99.25,13.95,394,Moderate
Churu,91.57,106.2,14.63,139,Very High
Coimbatore,92.83,101.23,8.4,340,High
Cooch Bihar,92.84,106.11,13.27,144,Very High
Cuddalore,94.39,102.8,8.41,264,High
Cuddapah,96.84,108.98,12.14,11,Very High
Cuttack,92.88,101.31,8.43,338,High
Dahod,91.17,95.49,4.32,537,Low
Dakshin Dinajpur,91.96,105.17,13.21,201,High
Dakshin Kannad,88.46,102.37,13.91,285,High
Daman,87.87,92.37,4.5,690,Low
Damoh,92.5,107.19,14.69,72,Very High
Dantewada,95.06,102.09,7.03,295,High
Darbhanga,92.83,106.04,13.21,148,Very High
Darjeeling,91.8,105.0,13.2,208,High
Darrang,90.12,98.91,8.79,410,Moderate
Datia,92.3,106.97,14.67,85,Very High
Dausa,90.87,105.48,14.61,183,High
Davangere,90.23,104.13,13.9,235,High
Dehradun,88.33,93.43,5.1,671,Low
Delhi Shahdara,87.67,94.77,7.1,614,Low
Deogarh,92.29,97.6,5.31,458,Moderate
Deoria,87.67,94.58,6.91,641,Low
Devbhumi Dwarka,89.96,94.29,4.33,660,Low
Dewas,92.41,107.06,14.65,81,Very High
Dhalai,85.77,96.7,10.93,491,Moderate
Dhamtari,93.83,100.89,7.06,355,Moderate
Dhanbad,92.93,98.17,5.24,443,Moderate
Dhar,92.81,107.52,14.71,61,Very High
Dharmapuri,93.85,102.27,8.42,288,High
Dharwad,88.83,102.72,13.89,267,High
Dhaulpur,90.39,104.94,14.55,212,High
Dhemaji,90.91,99.73,8.82,372,Moderate
Dhenkanal,93.46,101.91,8.45,303,High
Dhuburi,90.13,98.93,8.8,408,Moderate
Dhule,91.33,104.82,13.49,219,High
Dibang Valley,82.21,92.66,10.45,680,Low
Dibrugarh,89.79,98.56,8.77,425,Moderate
Dima Hasao,91.27,100.04,8.77,369,Moderate
Dimapur,88.0,96.66,8.66,495,Moderate
Dindigul,93.05,101.44,8.39,331,High
Dindori,93.4,108.0,14.6,36,Very High
Diu,88.88,93.4,4.52,672,Low
Doda,83.34,97.51,14.17,463,Moderate
Dumka,93.28,98.56,5.28,425,Moderate
Dungarpur,91.73,106.21,14.48,133,Very High
Durg,93.65,100.71,7.06,356,Moderate
East Champaran,93.3,106.52,13.22,115,Very High
East Delhi,87.67,94.77,7.1,614,Low
East District,89.0,101.75,12.75,317,High
East Garo Hills,87.09,95.62,8.53,524,Low
East Godavari,97.24,109.4,12.16,8,Very High
East Imphal,85.26,99.21,13.95,395,Moderate
East Jaintia Hills,87.34,95.97,8.63,509,Moderate
East Khameng,82.08,92.8,10.72,675,Low
East Khasi Hills,87.47,96.25,8.78,500,Moderate
East Siang,82.21,92.66,10.45,680,Low
East Singhbhum,93.05,98.31,5.26,434,Moderate
Ernakulam,94.48,105.49,11.01,181,High
Erode,92.99,101.38,8.39,334,High
Etah,87.84,94.75,6.91,621,Low
Etawah,88.28,95.13,6.85,567,Low
Faizabad,88.26,95.07,6.81,571,Low
Faridabad,88.4,95.56,7.16,528,Low
Faridkot,87.54,97.04,9.5,480,Moderate
Farrukkhabad,88.16,94.99,6.83,582,Low
Fatehabad,88.96,96.14,7.18,504,Moderate
Fatehgarh Sahib,87.87,97.38,9.51,472,Moderate
Fatehpur,88.54,95.38,6.84,550,Low
Fazilka,87.94,97.46,9.52,468,Moderate
Firozabad,87.35,94.32,6.97,656,Low
Firozpur,87.82,97.33,9.51,473,Moderate
Gadag,89.86,103.85,13.99,246,High
Gadchiroli,91.44,104.9,13.46,215,High
Gajapati,94.2,102.63,8.43,271,High
Ganderbal,85.3,100.15,14.85,365,Moderate
Gandhi Nagar,90.38,94.7,4.32,629,Low
Ganganagar,91.72,106.21,14.49,133,Very High
Ganjam,94.1,102.58,8.48,279,High
Garhwa,94.29,99.6,5.31,379,Moderate
Gariyaband,94.0,101.06,7.06,351,Moderate
Gautam Budh Nagar,88.19,95.05,6.86,574,Low
Gaya,93.02,106.22,13.2,129,Very High
Ghaziabad,88.6,95.4,6.8,546,Low
Ghazipur,89.17,96.05,6.88,507,Moderate
Gir Somnath,91.53,95.83,4.3,512,Moderate
Giridih,92.96,98.21,5.25,439,Moderate
Goalpara,90.28,99.08,8.8,402,Moderate
Godda,93.05,98.33,5.28,433,Moderate
Golaghat,89.43,98.2,8.77,440,Moderate
Gomati,87.1,97.97,10.87,447,Moderate
Gonda,87.91,94.77,6.86,614,Low
Gondia,91.95,105.44,13.49,189,High
Gopalganj,93.65,106.9,13.25,94,Very High
Gorakhpur,88.23,95.06,6.83,572,Low
Greater Mumbai,90.2,103.68,13.48,247,High
Gulbarga,89.53,103.48,13.95,250,High
